"","hatchery","brood_year","run_year","tag_code","hatchery_location_name","release_location_name","age","tot_estnum","tot_N_rec","stray_ind","avg_FL","Total_N","rel_month","avg_day","dist_hatch_ocean","Cleaned.up.site.name","LAT","LONG","Category","Bay","dist_hatch","dist_ocean","dist_hatchR","Xchannel","flow.10","flow.1011","flow.911","flow.1011R","flow.J45","flow.J36","flow.J45R","flow_discrep","runoff","LH_Type","LH_Type2","rel_month2","rel_flow","delta_temp.1011","mean_PDO_retn","mean_PDO_outmig","PDO_discrep","runsize"
"41","coleman",2007,2009,501040904,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",2,4.516,4.496,0,54,25863,3,63,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Fry","Fry",3,393.838709677419,59.6552744114754,-0.6125,-1.2925,0.68,9199
"42","coleman",2007,2009,501040905,"COLEMAN NFH","SAC R AT CLARKSBURG",2,3.02,3,1,55,25057,3,70,445.1022591,"Clarksburg",38.4152,-121.52175,"normal","UPSTREAM",374.922,144.951,0.779065176645624,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Fry","Smolt",3,393.838709677419,59.6552744114754,-0.6125,-1.2925,0.68,9199
"43","coleman",2007,2009,54470,"COLEMAN NFH","COLEMAN NFH",2,6.041,6.001,0,73,895009,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Smolt","Smolt",4.5,425.491803278689,59.6552744114754,-0.6125,-1.2925,0.68,9199
"44","coleman",2007,2009,54472,"COLEMAN NFH","COLEMAN NFH",2,27.05,25.96,0,76,1386409,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Smolt","Smolt",4.5,425.491803278689,59.6552744114754,-0.6125,-1.2925,0.68,9199
"45","coleman",2007,2009,54394,"COLEMAN NFH","SAN PABLO BAY NET PENS",2,2,2,1,88,455683,5,149,445.1022591,"Conoco Phillips Dock",38.0567,-122.2604,"BAY","BAY",481.246,39.733,1,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Smolt","Smolt",5,451.903225806452,59.6552744114754,-0.6125,-1.2925,0.68,9199
"46","coleman",2007,2009,501040901,"COLEMAN NFH","SAC R AT CLARKSBURG",2,2.53,1,1,54,23916,3,63,445.1022591,"Clarksburg",38.4152,-121.52175,"normal","UPSTREAM",374.922,144.951,0.779065176645624,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Fry","Fry",3,393.838709677419,59.6552744114754,-0.6125,-1.2925,0.68,9199
"47","coleman",2007,2009,54399,"COLEMAN NFH","COLEMAN NFH",2,1.5102,1.5002,0,64,444661,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Fry","Smolt",4.5,425.491803278689,59.6552744114754,-0.6125,-1.2925,0.68,9199
"48","coleman",2007,2009,501040908,"COLEMAN NFH","SAC R RED BLUFF DIV DAM",2,13.562,13.492,0,55,25622,3,70,445.1022591,"Red Bluff Diversion Dam",40.153,-122.204,"normal","UPSTREAM",55.322,462.534,0.114955760671258,27.9923611,222.677419354839,222.655737704918,215.813186813187,0.0450542196451259,425.491803278689,383.44262295082,0.100403082303062,-202.83606557377,529,"Fry","Smolt",3,393.838709677419,59.6552744114754,-0.6125,-1.2925,0.68,9199
"49","coleman",2007,2011,54395,"COLEMAN NFH","COLEMAN NFH",4,18.279,11.189,0,73,437185,4.5,121,445.1022591,"Coleman NFH",40.398064,-122.145393,"normal","UPSTREAM",0,517.856,0,22.02013889,296.806451612903,287.606557377049,285.142857142857,0.0370273441787038,425.491803278689,383.44262295082,0.100403082303062,-137.885245901639,529,"Smolt","Smolt",4.5,425.491803278689,58.787880137541,-1.23083333333333,-1.2925,0.0616666666666665,54605
"50","coleman",2007,2011,54397,"COLEMAN NFH","SAN PABLO BAY NET PENS",4,16.54,8,1,83,443763,6,155.5,445.1022591,"Conoco Phillips Dock",38.0567,-122.2604,"BAY","BAY",481.246,39.733,1,22.02013889,296.806451612903,287.606557377049,285.142857142857,0.0370273441787038,425.491803278689,383.44262295082,0.100403082303062,-137.885245901639,529,"Smolt","Smolt",6,287.2,58.787880137541,-1.23083333333333,-1.2925,0.0616666666666665,54605
